desertionNo,kindNm,colorCd,specialMark,sexCd,happenPlace,orgNm,processState,popfile1
441553202601767,한국 고양이,레몬색&흰색,뒷다리가 아예 탈골된 상태로 들어온 상태 안좋은 고양이/경계심 있음,Q,정남 119,경기도 화성시,종료(안락사),http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191705775[1].jpg
441408202601010,믹스묘,기타(흰색/회색),"5마리 같이 들어옴, 발생장소 인근 산 속에 버려짐",F,평리길 61~캠핑장 사이,경기도 안성시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191605923.jpg
441408202601009,믹스묘,기타(흰색),"5마리 같이 들어옴, 발생장소 인근 산속에 버려짐",F,평리길 61~캠핑장 사이,경기도 안성시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/20260519160583.jpg
441408202601008,믹스묘,기타(흰색),"5마리 같이 들어옴, 발생장소 인근 산속에 버려짐",F,평리길 61~캠핑장 사이,경기도 안성시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191605322.jpg
441408202601007,믹스묘,기타(흰색),"5마리 같이 들어옴, 발생장소 인근 산속에 버려짐",M,평리길 61~캠핑장 사이,경기도 안성시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191605278.jpg
441408202601006,믹스묘,기타(흰색/회색),"5마리 같이 들어옴, 구더기 감염증, 기력 없음, 발생장소 인근 산속에 버려짐",M,평리길 61~캠핑장 사이,경기도 안성시,종료(자연사),http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191505575.jpg
441404202600194,한국 고양이,검정색,"흰 양말 무늬가 특징인 턱시도 2개월령 아기고양이, 사람 잘 따",Q,"신장동 대신카센터, GS편의점",경기도 하남시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191705831.jpeg
441402202600273,한국 고양이,기타(갈흑백),"겁많음,배쪽 외상심함,탈수심함,기력없음,예후불량",Q,군포시청에서 인수,경기도 군포시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605449.jpg
441400202600196,한국 고양이,레몬색&흰색,"심한설사,예후불량,인공포유",M,누읍동 휴먼시아,경기도 오산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191605247.jpg
441399202600850,한국 고양이,흰색,착하고 사람 손길을 잘 따름,F,남양주시 수동면 비룡로 1438-109,경기도 남양주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605601.jpg
441394202601035,한국 고양이,기타(치즈),유기묘 / 아기고양이/ 임시보호(26.05.20~07.19),Q,장항동 558-1 부근,경기도 고양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191705552.jpg
441393202600620,한국 고양이,기타(갈흑백),"3주추정,수유필요,탈수심함,박스채버려짐,기력없음,예후불량",F,용신로470 부근,경기도 안산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191505843[1].jpg
441393202600619,한국 고양이,기타(흑백),"수유필요,탈수심함,박스채버려짐,기력없음,예후불량",M,용신로470 부근,경기도 안산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191505892[1].jpg
441386202600663,한국 고양이,흰색,"입소당시 순함, 좌측상악송곳니 없음, 기립 시 중심못잡고 쓰러짐, 보행가능 유무 확인 필요",F,송내대로 205번길 26,경기도 부천시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191305390.jpg
441378202600632,한국 고양이,흰색/검은색 얼룩무늬,2주 추정,M,석운로 132,경기도 성남시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191605946.jpg
441378202600631,한국 고양이,레몬색&흰색,2주 추정,M,석운로 132,경기도 성남시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191605718.jpg
